tipo_cancer,año,casos_hombre_raza_blanca,casos_mujer_raza_blanca,casos_hombre_raza_negra,casos_mujer_raza_negra,muertes_hombre_raza_blanca,muertes_mujer_raza_blanca,muertes_hombre_raza_negra,muertes_mujer_raza_negra
Lip,1975,5.64,0.45,,,0.23,0.02,,
Lip,1976,5.47,0.41,,,0.19,0.02,,
Lip,1977,4.85,0.43,,,0.22,0.02,,
Lip,1978,5.82,0.46,,,0.2,0.03,,
Lip,1979,5.03,0.41,,,0.18,0.02,,
Lip,1980,5.16,0.55,,,0.2,0.02,,
Lip,1981,4.81,0.52,,,0.18,0.02,,
Lip,1982,4.73,0.46,,,0.12,0.02,,
Lip,1983,4.86,0.52,,,0.16,0.02,,
Lip,1984,3.88,0.43,,,0.13,0.02,,
Lip,1985,3.86,0.41,,,0.11,0.02,,
Lip,1986,3.59,0.47,,,0.11,0.02,,
Lip,1987,4.12,0.45,,,0.08,0.01,,
Lip,1988,3.38,0.44,,,0.09,0.02,,
Lip,1989,3.36,0.47,,,0.1,0.02,,
Lip,1990,3.46,0.35,,,0.07,0.02,,
Lip,1991,3.11,0.56,,,0.1,0.01,,
Lip,1992,3.53,0.47,,,0.07,0.02,,
Lip,1993,3.07,0.45,,,0.08,0.02,,
Lip,1994,2.9,0.47,,,0.09,0.01,,
Lip,1995,2.84,0.51,,,0.07,0.01,,
Lip,1996,2.94,0.52,,,0.07,0.01,,
Lip,1997,2.63,0.45,,,0.06,0.02,,
Lip,1998,2.37,0.54,,,0.07,0.02,,
Lip,1999,2.36,0.36,,,0.04,0.01,,
Lip,2000,2.03,0.45,,,0.05,0.01,,
Lip,2001,2.1,0.51,,,0.06,0.01,,
Lip,2002,1.93,0.44,,,0.05,0.01,,
Lip,2003,1.98,0.35,,,0.05,0.01,,
Lip,2004,1.78,0.4,,,0.04,0.01,,
Lip,2005,1.44,0.41,,,0.03,0.01,,
Lip,2006,1.6,0.33,,,0.04,0.01,,
Lip,2007,1.39,0.39,,,0.04,0.01,,
Lip,2008,1.23,0.33,,,0.04,0.01,,
Lip,2009,1.17,0.47,,,0.04,0.01,,
Lip,2010,1.34,0.4,,,0.04,0.01,,
Lip,2011,1.26,0.32,,,0.05,0.01,,
Lip,2012,1.35,0.37,,,0.03,0.01,,
Lip,2013,1.51,0.48,,,0.03,0.01,,
Lip,2014,1.26,0.38,,,0.04,0.01,,
Lip,2015,1.37,0.48,,,0.04,0.01,,
Lip,2016,1.27,0.52,,,0.03,0.01,,
Tongue,1975,3.3,1.18,5.34,,1.53,0.57,2.4,0.52
Tongue,1976,3.58,1.43,5.9,,1.57,0.52,2.49,0.56
Tongue,1977,3.1,1.43,3.43,,1.4,0.53,2.37,0.63
Tongue,1978,2.89,1.5,5.31,,1.48,0.52,2.51,0.57
Tongue,1979,3.69,1.63,4.93,2.52,1.43,0.55,2.71,0.59
Tongue,1980,3.37,1.58,5.5,1.96,1.32,0.49,2.72,0.64
Tongue,1981,3.31,1.8,5.97,,1.33,0.51,2.47,0.6
Tongue,1982,3.41,1.67,6.04,,1.29,0.53,2.69,0.7
Tongue,1983,3.94,1.56,5.75,,1.27,0.5,2.69,0.6
Tongue,1984,3.91,1.58,5.17,2.24,1.29,0.5,2.8,0.57
Tongue,1985,3.54,1.86,6.44,1.92,1.25,0.47,2.35,0.58
Tongue,1986,3.52,1.58,4.81,,1.19,0.49,2.68,0.64
Tongue,1987,3.81,1.73,5.59,,1.13,0.47,1.97,0.6
Tongue,1988,3.52,1.43,5.51,1.73,1.14,0.49,2.26,0.49
Tongue,1989,3.31,1.7,6.6,1.55,1.11,0.49,2.48,0.66
Tongue,1990,3.75,1.6,6.92,,1.12,0.45,2.44,0.53
Tongue,1991,3.39,1.38,5.23,,1.05,0.45,2.47,0.69
Tongue,1992,3.57,1.69,6.42,,1.0,0.45,2.19,0.51
Tongue,1993,3.82,1.78,4.71,1.59,1.02,0.42,2.25,0.59
Tongue,1994,3.46,1.82,6.07,,0.98,0.41,1.96,0.55
Tongue,1995,3.71,1.69,3.61,1.45,1.03,0.4,1.74,0.48
Tongue,1996,3.82,1.49,4.85,1.44,0.93,0.4,1.71,0.54
Tongue,1997,3.91,1.51,4.22,,0.96,0.42,1.82,0.42
Tongue,1998,3.62,1.7,4.1,,0.9,0.41,1.63,0.39
Tongue,1999,3.79,1.49,3.94,1.33,0.91,0.38,1.39,0.44
Tongue,2000,3.81,1.56,4.79,,0.87,0.42,1.36,0.31
Tongue,2001,3.87,1.76,4.99,1.7,0.92,0.39,1.24,0.31
Tongue,2002,4.72,1.94,3.45,1.78,0.93,0.41,1.26,0.33
Tongue,2003,4.31,1.81,4.32,1.15,0.93,0.38,1.25,0.37
Tongue,2004,4.96,1.74,3.57,1.11,0.9,0.4,1.17,0.3
Tongue,2005,4.52,1.7,4.24,1.68,0.89,0.4,1.4,0.21
Tongue,2006,4.67,2.1,3.36,,0.9,0.38,0.94,0.32
Tongue,2007,4.99,1.85,3.92,1.01,0.93,0.4,1.06,0.37
Tongue,2008,5.26,1.95,3.41,0.92,0.9,0.39,0.87,0.22
Tongue,2009,5.37,1.88,4.35,0.93,0.89,0.37,0.9,0.24
Tongue,2010,5.59,1.73,3.01,1.08,0.93,0.38,0.93,0.29
Tongue,2011,5.49,2.15,3.6,1.0,0.9,0.35,0.93,0.3
Tongue,2012,5.42,2.14,2.77,,0.94,0.39,0.89,0.28
Tongue,2013,5.71,2.03,4.02,1.19,0.93,0.36,0.85,0.27
Tongue,2014,6.15,1.85,3.35,1.25,1.01,0.37,0.86,0.29
Tongue,2015,6.46,2.38,2.73,1.02,1.02,0.39,0.88,0.22
Tongue,2016,6.24,2.31,2.82,1.05,1.09,0.42,0.77,0.24
Salivary Gland,1975,1.74,1.14,,,0.53,0.24,0.32,0.27
Salivary Gland,1976,1.31,1.03,,,0.52,0.24,0.6,
Salivary Gland,1977,1.3,0.83,,,0.58,0.22,0.42,0.17
Salivary Gland,1978,1.51,0.91,,,0.46,0.27,0.37,0.25
Salivary Gland,1979,1.4,0.88,,,0.45,0.22,0.35,0.21
Salivary Gland,1980,1.32,1.07,,,0.44,0.2,0.36,0.22
Salivary Gland,1981,1.3,0.87,,,0.49,0.19,0.42,0.24
Salivary Gland,1982,1.56,0.88,,,0.48,0.19,0.36,0.21
Salivary Gland,1983,1.33,0.95,,,0.43,0.19,0.34,0.17
Salivary Gland,1984,1.4,1.01,,,0.45,0.21,0.41,0.13
Salivary Gland,1985,1.8,1.06,,,0.42,0.19,0.24,0.16
Salivary Gland,1986,1.74,0.92,,,0.45,0.19,0.31,0.23
Salivary Gland,1987,1.79,0.79,,,0.44,0.18,0.36,0.15
Salivary Gland,1988,1.29,0.91,,,0.42,0.19,0.2,0.21
Salivary Gland,1989,1.44,0.88,,,0.39,0.18,0.35,0.18
Salivary Gland,1990,1.56,1.03,,,0.48,0.19,0.38,0.24
Salivary Gland,1991,1.55,0.96,,,0.48,0.2,0.35,0.14
Salivary Gland,1992,1.61,0.81,,,0.45,0.2,0.27,0.11
Salivary Gland,1993,1.73,0.98,,,0.45,0.18,0.38,0.17
